kohde,jasen,pvknro,sp,IKAL1,ASALUE,V1,V21,V22,V5,H1a_A,H1b_A
50366,1,2,2,6,2.0,0.0,0.0,0.0,60.0,2.0,1.0
50377,1,1,1,4,3.0,0.0,230.0,0.0,30.0,2.0,2.0
50377,1,2,1,4,3.0,0.0,120.0,160.0,20.0,2.0,2.0
50378,1,1,2,6,1.0,540.0,0.0,0.0,20.0,1.0,2.0
50378,1,2,2,6,1.0,590.0,10.0,0.0,70.0,1.0,2.0
50382,2,1,1,6,1.0,460.0,10.0,0.0,20.0,,
50382,2,2,1,6,1.0,0.0,0.0,0.0,0.0,,
50383,1,1,1,4,3.0,370.0,0.0,0.0,40.0,2.0,2.0
50383,1,2,1,4,3.0,0.0,60.0,0.0,,2.0,2.0
50385,2,1,2,8,3.0,0.0,0.0,0.0,40.0,2.0,1.0
50385,2,2,2,8,3.0,0.0,0.0,0.0,90.0,2.0,1.0
50387,1,1,1,9,3.0,0.0,0.0,0.0,0.0,2.0,2.0
50387,1,2,1,9,3.0,0.0,0.0,0.0,0.0,2.0,2.0
50390,1,1,1,6,2.0,380.0,60.0,0.0,0.0,2.0,2.0
50390,1,2,1,6,2.0,0.0,30.0,0.0,0.0,2.0,2.0
50394,1,1,1,8,1.0,0.0,0.0,0.0,0.0,2.0,1.0
50394,1,2,1,8,1.0,0.0,0.0,0.0,0.0,2.0,1.0
50419,1,1,2,8,1.0,0.0,0.0,0.0,30.0,2.0,1.0
50419,1,2,2,8,1.0,0.0,0.0,0.0,30.0,2.0,1.0
50425,1,1,2,7,2.0,300.0,0.0,0.0,20.0,2.0,2.0
50425,1,2,2,7,2.0,0.0,0.0,0.0,0.0,2.0,2.0
50427,1,1,2,5,1.0,0.0,80.0,70.0,80.0,2.0,1.0
50427,1,2,2,5,1.0,150.0,70.0,70.0,70.0,2.0,1.0
50429,2,1,2,5,3.0,,,,,,1.0
50429,2,2,2,5,3.0,,,,,1.0,1.0
50435,1,1,1,7,1.0,0.0,0.0,0.0,30.0,2.0,
50435,1,2,1,7,1.0,0.0,0.0,0.0,80.0,2.0,2.0
50437,1,1,2,4,1.0,480.0,0.0,0.0,20.0,1.0,1.0
50437,1,2,2,4,1.0,0.0,0.0,0.0,50.0,1.0,1.0
50447,2,1,1,5,3.0,,,,,,
50447,2,2,1,5,3.0,,,,,,
50450,1,1,2,4,1.0,410.0,0.0,0.0,0.0,1.0,1.0
50466,1,1,2,6,2.0,,,,,1.0,1.0
50466,1,2,2,6,2.0,,,,,1.0,1.0
50470,2,1,1,8,3.0,0.0,0.0,0.0,20.0,2.0,1.0
50470,2,2,1,8,3.0,0.0,0.0,0.0,0.0,2.0,1.0
50478,1,1,1,6,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50478,1,2,1,6,1.0,0.0,0.0,0.0,30.0,2.0,2.0
50497,1,1,1,6,3.0,40.0,0.0,0.0,0.0,2.0,
